screen_id,file_name,category,profile,expected_result,final_status,diff_roi_count,pass_roi_count,review_roi_count,fail_roi_count,total_diff_area_ratio,is_loading_like,memo,final_reasons
16-17,16-17.png,card_ui,card_ui_profile,PASS,PASS,11,0,11,0,0.029655,False,사람 기준 통과 가능,카드 UI의 분산형 위치/렌더링 차이로 자동 PASS
16-19,16-19.png,card_ui,card_ui_profile,PASS,PASS,11,0,11,0,0.029782,False,사람 기준 통과 가능,카드 UI의 분산형 위치/렌더링 차이로 자동 PASS
16-4,16-4.png,card_ui,card_ui_profile,PASS,PASS,10,0,10,0,0.029922,False,사람 기준 통과 가능,카드 UI의 분산형 위치/렌더링 차이로 자동 PASS
18-3,18-3.png,popup,popup_profile,REVIEW,REVIEW,1,0,1,0,0.181094,False,"글씨는 같지만 화면 색, 게이지 위치, 글씨 전체 위치 다름",팝업 화면에서 전체 차이 면적은 크지만 화면 색/게이지/위치 차이 가능성이 있어 REVIEW 처리: 0.181094 >= 0.14400000000000002
18-4,18-4.png,popup,popup_profile,REVIEW,REVIEW,1,0,1,0,0.181294,False,"글씨는 같지만 화면 색, 게이지 위치, 글씨 전체 위치 다름",팝업 화면에서 전체 차이 면적은 크지만 화면 색/게이지/위치 차이 가능성이 있어 REVIEW 처리: 0.181294 >= 0.14400000000000002
18-5,18-5.png,popup,popup_profile,REVIEW,REVIEW,1,0,1,0,0.167472,False,"글씨는 같지만 화면 색, 게이지 위치, 글씨 전체 위치 다름",팝업 화면에서 전체 차이 면적은 크지만 화면 색/게이지/위치 차이 가능성이 있어 REVIEW 처리: 0.167472 >= 0.14400000000000002
2-11,2-11.png,popup,popup_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-14,2-14.png,popup,popup_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-21,2-21.png,popup,popup_profile,PASS,PASS,1,0,1,0,0.002655,False,사람 기준 통과 가능,팝업 화면의 허용 가능한 위치/렌더링 차이로 자동 PASS
2-30,2-30.png,popup,popup_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-39,2-39.png,popup,popup_profile,PASS,PASS,1,0,1,0,0.016035,False,사람 기준 통과 가능,팝업 화면의 허용 가능한 위치/렌더링 차이로 자동 PASS
